Order_ID,Order_Date,Product_Category,Vendor,Carrier,Price,Return_Flag
39,2023-02-08,Electronics,Vendor A,Carrier Y,909,Yes
40,2023-02-09,Clothing,Vendor C,Carrier Z,3926,Yes
41,2023-02-10,Beauty,Vendor A,Carrier Z,3842,No
42,2023-02-11,Electronics,Vendor A,Carrier Y,4193,No
43,2023-02-12,Beauty,Vendor B,Carrier Y,688,No
44,2023-02-13,Clothing,Vendor B,Carrier X,246,No
45,2023-02-14,Clothing,Vendor C,Carrier Y,3559,No
46,2023-02-15,Electronics,Vendor B,Carrier Y,600,Yes
47,2023-02-16,Clothing,Vendor C,Carrier Z,4190,No
48,2023-02-17,Sports,Vendor B,Carrier Y,3357,No
49,2023-02-18,Clothing,Vendor A,Carrier X,4545,No
50,2023-02-19,Beauty,Vendor C,Carrier Y,590,No
51,2023-02-20,Beauty,Vendor C,Carrier Z,4053,No
52,2023-02-21,Beauty,Vendor A,Carrier Z,4630,No
53,2023-02-22,Beauty,Vendor C,Carrier Y,828,No
54,2023-02-23,Sports,Vendor C,Carrier Z,4432,Yes
55,2023-02-24,Home,Vendor B,Carrier X,3130,Yes
56,2023-02-25,Electronics,Vendor C,Carrier X,1721,Yes
57,2023-02-26,Beauty,Vendor D,Carrier Y,1026,No
58,2023-02-27,Clothing,Vendor A,Carrier Y,1700,No
59,2023-02-28,Beauty,Vendor B,Carrier Y,3494,Yes
60,2023-03-01,Clothing,Vendor B,Carrier Z,2619,Yes
61,2023-03-02,Clothing,Vendor D,Carrier X,1134,No
62,2023-03-03,Beauty,Vendor A,Carrier X,3242,Yes
63,2023-03-04,Sports,Vendor A,Carrier Z,4697,Yes
64,2023-03-05,Clothing,Vendor B,Carrier X,1666,No
65,2023-03-06,Clothing,Vendor C,Carrier Y,3761,No
66,2023-03-07,Beauty,Vendor B,Carrier Y,814,No
67,2023-03-08,Clothing,Vendor A,Carrier Y,1382,No
68,2023-03-09,Clothing,Vendor D,Carrier X,3423,No
69,2023-03-10,Beauty,Vendor B,Carrier Y,2867,Yes
70,2023-03-11,Beauty,Vendor A,Carrier Z,330,Yes
71,2023-03-12,Electronics,Vendor B,Carrier Z,3183,No
72,2023-03-13,Sports,Vendor C,Carrier X,4478,No
73,2023-03-14,Sports,Vendor B,Carrier Z,4659,No
74,2023-03-15,Clothing,Vendor B,Carrier Z,238,Yes
75,2023-03-16,Sports,Vendor A,Carrier X,4159,No
76,2023-03-17,Clothing,Vendor A,Carrier Y,3787,No
77,2023-03-18,Electronics,Vendor A,Carrier Y,1120,No
78,2023-03-19,Beauty,Vendor B,Carrier Y,2969,No
79,2023-03-20,Beauty,Vendor C,Carrier X,4311,No
80,2023-03-21,Beauty,Vendor D,Carrier Z,692,No
81,2023-03-22,Sports,Vendor D,Carrier Y,1331,No
82,2023-03-23,Electronics,Vendor A,Carrier Y,3721,No
83,2023-03-24,Sports,Vendor A,Carrier X,510,Yes
84,2023-03-25,Sports,Vendor B,Carrier Y,938,No
85,2023-03-26,Electronics,Vendor D,Carrier X,3441,No
86,2023-03-27,Electronics,Vendor A,Carrier Z,745,No
87,2023-03-28,Electronics,Vendor C,Carrier X,2661,No
88,2023-03-29,Electronics,Vendor C,Carrier X,4546,No
89,2023-03-30,Beauty,Vendor A,Carrier X,2004,Yes
90,2023-03-31,Home,Vendor A,Carrier X,3412,No
91,2023-04-01,Home,Vendor D,Carrier Z,4010,Yes
92,2023-04-02,Electronics,Vendor D,Carrier Z,1013,No
93,2023-04-03,Home,Vendor B,Carrier Y,4324,No
94,2023-04-04,Home,Vendor D,Carrier Z,2232,No
95,2023-04-05,Electronics,Vendor C,Carrier Z,4772,No
96,2023-04-06,Home,Vendor C,Carrier Y,4613,No
97,2023-04-07,Sports,Vendor A,Carrier Z,444,No
98,2023-04-08,Clothing,Vendor D,Carrier X,4992,No
99,2023-04-09,Clothing,Vendor B,Carrier X,471,No
100,2023-04-10,Electronics,Vendor C,Carrier Y,3711,No
101,2023-04-11,Beauty,Vendor C,Carrier Y,1971,No
102,2023-04-12,Electronics,Vendor B,Carrier Y,1462,No
103,2023-04-13,Beauty,Vendor B,Carrier X,2624,No
104,2023-04-14,Clothing,Vendor C,Carrier Z,4561,No
105,2023-04-15,Electronics,Vendor C,Carrier X,1120,No
106,2023-04-16,Sports,Vendor B,Carrier Y,3630,No
107,2023-04-17,Home,Vendor C,Carrier Z,4635,No
108,2023-04-18,Beauty,Vendor A,Carrier Z,4684,No
109,2023-04-19,Home,Vendor A,Carrier X,2824,No
110,2023-04-20,Home,Vendor B,Carrier Y,3960,No
111,2023-04-21,Electronics,Vendor D,Carrier X,2250,No
112,2023-04-22,Home,Vendor B,Carrier Z,3700,Yes
113,2023-04-23,Sports,Vendor B,Carrier X,1365,No
114,2023-04-24,Home,Vendor D,Carrier X,575,Yes
115,2023-04-25,Electronics,Vendor D,Carrier Y,2233,No
116,2023-04-26,Sports,Vendor D,Carrier Y,345,No
117,2023-04-27,Clothing,Vendor A,Carrier Z,4588,No
118,2023-04-28,Home,Vendor C,Carrier X,631,No
119,2023-04-29,Electronics,Vendor A,Carrier X,904,No
120,2023-04-30,Clothing,Vendor C,Carrier X,2832,No
121,2023-05-01,Clothing,Vendor A,Carrier Z,4694,No
122,2023-05-02,Beauty,Vendor C,Carrier Z,1163,No
123,2023-05-03,Sports,Vendor A,Carrier Y,2434,Yes
124,2023-05-04,Home,Vendor D,Carrier Y,2241,Yes
125,2023-05-05,Electronics,Vendor B,Carrier Y,2028,No
126,2023-05-06,Beauty,Vendor A,Carrier X,2308,Yes
127,2023-05-07,Sports,Vendor C,Carrier X,4268,No
128,2023-05-08,Beauty,Vendor D,Carrier Y,1138,No
129,2023-05-09,Sports,Vendor A,Carrier X,1006,No
130,2023-05-10,Sports,Vendor A,Carrier Y,1663,No
131,2023-05-11,Home,Vendor D,Carrier Z,3615,No
132,2023-05-12,Sports,Vendor A,Carrier Y,210,No
133,2023-05-13,Beauty,Vendor B,Carrier Z,2068,No
134,2023-05-14,Sports,Vendor A,Carrier X,1084,No
135,2023-05-15,Home,Vendor B,Carrier Y,3764,No
136,2023-05-16,Home,Vendor B,Carrier X,1589,Yes
137,2023-05-17,Beauty,Vendor D,Carrier Z,3601,No
138,2023-05-18,Clothing,Vendor A,Carrier Z,4521,No
139,2023-05-19,Clothing,Vendor D,Carrier Z,1024,No
140,2023-05-20,Sports,Vendor A,Carrier X,2465,Yes
141,2023-05-21,Electronics,Vendor A,Carrier X,1136,No
142,2023-05-22,Sports,Vendor C,Carrier X,3000,Yes
143,2023-05-23,Beauty,Vendor A,Carrier X,2753,Yes
144,2023-05-24,Beauty,Vendor D,Carrier Z,4045,No
145,2023-05-25,Beauty,Vendor B,Carrier Z,1996,No
146,2023-05-26,Beauty,Vendor A,Carrier Y,253,No
147,2023-05-27,Beauty,Vendor C,Carrier Y,926,No
148,2023-05-28,Home,Vendor D,Carrier X,2936,No
149,2023-05-29,Clothing,Vendor A,Carrier Z,3370,No
150,2023-05-30,Beauty,Vendor D,Carrier Z,2113,Yes
151,2023-05-31,Electronics,Vendor C,Carrier Z,1796,No
152,2023-06-01,Electronics,Vendor C,Carrier Y,2114,No
153,2023-06-02,Electronics,Vendor D,Carrier Y,2666,No
154,2023-06-03,Electronics,Vendor A,Carrier Z,2937,No
155,2023-06-04,Home,Vendor B,Carrier Z,1049,No
156,2023-06-05,Electronics,Vendor C,Carrier Z,2309,Yes
157,2023-06-06,Beauty,Vendor A,Carrier Y,202,No
158,2023-06-07,Sports,Vendor A,Carrier Z,4455,No
159,2023-06-08,Electronics,Vendor B,Carrier Z,4269,Yes
160,2023-06-09,Home,Vendor C,Carrier X,1092,No
161,2023-06-10,Home,Vendor C,Carrier X,2230,No
162,2023-06-11,Electronics,Vendor A,Carrier Y,3360,Yes
163,2023-06-12,Sports,Vendor A,Carrier Z,2576,No
164,2023-06-13,Electronics,Vendor B,Carrier Z,4875,No
165,2023-06-14,Home,Vendor B,Carrier X,2133,Yes
166,2023-06-15,Clothing,Vendor C,Carrier Y,1580,No
167,2023-06-16,Beauty,Vendor D,Carrier X,3881,No
168,2023-06-17,Home,Vendor C,Carrier X,1490,No
169,2023-06-18,Electronics,Vendor A,Carrier X,1840,Yes
170,2023-06-19,Beauty,Vendor C,Carrier X,2882,Yes
171,2023-06-20,Electronics,Vendor D,Carrier Z,1187,No
172,2023-06-21,Electronics,Vendor B,Carrier Z,1418,No
173,2023-06-22,Clothing,Vendor D,Carrier X,1555,No
174,2023-06-23,Beauty,Vendor D,Carrier Y,4465,No
175,2023-06-24,Beauty,Vendor D,Carrier Y,4816,No
176,2023-06-25,Clothing,Vendor B,Carrier Y,4335,Yes
177,2023-06-26,Home,Vendor D,Carrier Y,1760,No
178,2023-06-27,Electronics,Vendor D,Carrier X,1618,No
179,2023-06-28,Sports,Vendor D,Carrier Z,1154,No
180,2023-06-29,Electronics,Vendor A,Carrier Y,1183,No
181,2023-06-30,Electronics,Vendor D,Carrier X,1174,No
182,2023-07-01,Home,Vendor B,Carrier Y,4333,No
183,2023-07-02,Electronics,Vendor D,Carrier Y,4172,No
184,2023-07-03,Clothing,Vendor D,Carrier X,1113,No
185,2023-07-04,Clothing,Vendor B,Carrier Z,4749,No
186,2023-07-05,Beauty,Vendor D,Carrier Z,236,No
187,2023-07-06,Sports,Vendor B,Carrier X,3587,No
188,2023-07-07,Electronics,Vendor D,Carrier Z,1911,Yes
189,2023-07-08,Electronics,Vendor B,Carrier X,3220,No
190,2023-07-09,Home,Vendor D,Carrier X,995,Yes
191,2023-07-10,Clothing,Vendor D,Carrier X,4236,Yes
192,2023-07-11,Sports,Vendor A,Carrier Z,4888,No
193,2023-07-12,Beauty,Vendor A,Carrier X,3311,No
194,2023-07-13,Clothing,Vendor D,Carrier Y,1524,No
195,2023-07-14,Beauty,Vendor D,Carrier Z,517,Yes
196,2023-07-15,Home,Vendor C,Carrier Z,2596,No
197,2023-07-16,Home,Vendor B,Carrier Z,2362,Yes
198,2023-07-17,Electronics,Vendor C,Carrier Z,2945,Yes
199,2023-07-18,Sports,Vendor A,Carrier Y,1791,No
200,2023-07-19,Beauty,Vendor A,Carrier Z,3311,No
201,2023-07-20,Clothing,Vendor A,Carrier Z,4130,No
202,2023-07-21,Home,Vendor A,Carrier X,2196,Yes
203,2023-07-22,Electronics,Vendor D,Carrier Z,1512,Yes
204,2023-07-23,Electronics,Vendor A,Carrier Y,1485,No
205,2023-07-24,Beauty,Vendor D,Carrier Y,4511,No
206,2023-07-25,Home,Vendor D,Carrier Y,2583,No
207,2023-07-26,Sports,Vendor A,Carrier Y,3439,No
208,2023-07-27,Home,Vendor A,Carrier Z,2339,No
209,2023-07-28,Beauty,Vendor B,Carrier Z,1904,No
210,2023-07-29,Beauty,Vendor C,Carrier Y,562,Yes
211,2023-07-30,Home,Vendor A,Carrier Y,2804,No
212,2023-07-31,Beauty,Vendor B,Carrier Z,1916,No
213,2023-08-01,Home,Vendor B,Carrier Y,4651,No
214,2023-08-02,Clothing,Vendor C,Carrier X,4486,No
215,2023-08-03,Home,Vendor D,Carrier Y,3938,No
216,2023-08-04,Home,Vendor A,Carrier Y,2669,No
217,2023-08-05,Beauty,Vendor C,Carrier X,4995,No
218,2023-08-06,Beauty,Vendor A,Carrier X,756,No
219,2023-08-07,Electronics,Vendor B,Carrier Z,1025,No
220,2023-08-08,Electronics,Vendor B,Carrier Z,3008,No
221,2023-08-09,Clothing,Vendor D,Carrier X,4721,No
222,2023-08-10,Electronics,Vendor B,Carrier X,2919,No
223,2023-08-11,Home,Vendor B,Carrier Z,3708,No
224,2023-08-12,Beauty,Vendor C,Carrier Y,3941,No
225,2023-08-13,Electronics,Vendor A,Carrier X,1774,No
226,2023-08-14,Electronics,Vendor A,Carrier Z,4198,No
227,2023-08-15,Clothing,Vendor C,Carrier Y,2329,Yes
228,2023-08-16,Clothing,Vendor D,Carrier X,2603,No
229,2023-08-17,Home,Vendor A,Carrier Y,3529,No
230,2023-08-18,Beauty,Vendor B,Carrier Z,788,No
231,2023-08-19,Clothing,Vendor A,Carrier X,2212,No
232,2023-08-20,Electronics,Vendor B,Carrier Y,1747,Yes
233,2023-08-21,Beauty,Vendor D,Carrier X,494,No
234,2023-08-22,Beauty,Vendor C,Carrier Y,2185,Yes
235,2023-08-23,Electronics,Vendor A,Carrier Z,3317,Yes
236,2023-08-24,Clothing,Vendor C,Carrier Z,1890,No
237,2023-08-25,Electronics,Vendor A,Carrier X,1336,No
238,2023-08-26,Beauty,Vendor B,Carrier Y,2264,No
239,2023-08-27,Sports,Vendor C,Carrier X,4655,No
240,2023-08-28,Sports,Vendor A,Carrier X,4995,No
241,2023-08-29,Home,Vendor B,Carrier Y,4743,No
242,2023-08-30,Electronics,Vendor C,Carrier Y,4970,Yes
243,2023-08-31,Electronics,Vendor C,Carrier Y,1207,No
244,2023-09-01,Home,Vendor A,Carrier Z,2714,No
245,2023-09-02,Home,Vendor A,Carrier X,3726,No
246,2023-09-03,Home,Vendor A,Carrier X,4881,Yes
247,2023-09-04,Beauty,Vendor B,Carrier Z,1447,No
248,2023-09-05,Electronics,Vendor A,Carrier Y,4102,No
249,2023-09-06,Beauty,Vendor C,Carrier Z,1635,No
250,2023-09-07,Home,Vendor C,Carrier Z,771,Yes
251,2023-09-08,Electronics,Vendor A,Carrier Z,2582,No
252,2023-09-09,Beauty,Vendor A,Carrier X,1445,No
253,2023-09-10,Beauty,Vendor D,Carrier Z,2284,No
254,2023-09-11,Home,Vendor C,Carrier X,477,No
255,2023-09-12,Electronics,Vendor B,Carrier X,2087,Yes
256,2023-09-13,Home,Vendor D,Carrier X,4779,No
257,2023-09-14,Electronics,Vendor A,Carrier Y,1465,Yes
258,2023-09-15,Sports,Vendor A,Carrier X,1240,No
259,2023-09-16,Clothing,Vendor C,Carrier X,1117,No
260,2023-09-17,Clothing,Vendor A,Carrier Y,1085,Yes
261,2023-09-18,Clothing,Vendor B,Carrier X,2952,No
262,2023-09-19,Home,Vendor C,Carrier Z,221,Yes
263,2023-09-20,Sports,Vendor A,Carrier Z,4769,No
264,2023-09-21,Electronics,Vendor C,Carrier X,3391,No
265,2023-09-22,Beauty,Vendor A,Carrier Y,2553,No
266,2023-09-23,Electronics,Vendor A,Carrier Z,4999,No
267,2023-09-24,Beauty,Vendor A,Carrier Y,886,No
268,2023-09-25,Electronics,Vendor B,Carrier Y,484,Yes
269,2023-09-26,Sports,Vendor B,Carrier Z,3947,Yes
270,2023-09-27,Beauty,Vendor C,Carrier Y,962,Yes
271,2023-09-28,Home,Vendor A,Carrier Z,2628,Yes
272,2023-09-29,Electronics,Vendor A,Carrier Y,2707,No
273,2023-09-30,Electronics,Vendor B,Carrier Z,228,No
274,2023-10-01,Beauty,Vendor A,Carrier X,1106,No
275,2023-10-02,Home,Vendor B,Carrier Z,3304,Yes
276,2023-10-03,Home,Vendor A,Carrier Z,4199,No
277,2023-10-04,Sports,Vendor C,Carrier Z,3194,No
278,2023-10-05,Home,Vendor A,Carrier Z,2706,No
279,2023-10-06,Home,Vendor A,Carrier Y,4865,No
280,2023-10-07,Home,Vendor D,Carrier X,3809,No
281,2023-10-08,Clothing,Vendor B,Carrier Z,3753,Yes
282,2023-10-09,Sports,Vendor A,Carrier Y,1653,No
283,2023-10-10,Electronics,Vendor A,Carrier X,3556,No
284,2023-10-11,Beauty,Vendor D,Carrier X,715,No
285,2023-10-12,Electronics,Vendor D,Carrier X,238,No
286,2023-10-13,Sports,Vendor B,Carrier X,3542,No
287,2023-10-14,Beauty,Vendor D,Carrier Z,1086,No
288,2023-10-15,Sports,Vendor C,Carrier Z,3044,No
289,2023-10-16,Home,Vendor D,Carrier Y,2404,No
290,2023-10-17,Beauty,Vendor C,Carrier Y,1298,No
291,2023-10-18,Home,Vendor B,Carrier Y,2023,No
292,2023-10-19,Electronics,Vendor B,Carrier X,3401,No
293,2023-10-20,Electronics,Vendor B,Carrier X,3355,Yes
294,2023-10-21,Beauty,Vendor B,Carrier Z,3293,Yes
295,2023-10-22,Beauty,Vendor B,Carrier X,3730,No
296,2023-10-23,Sports,Vendor C,Carrier X,3978,No
297,2023-10-24,Sports,Vendor C,Carrier X,3096,Yes
298,2023-10-25,Home,Vendor B,Carrier Y,3653,Yes
299,2023-10-26,Beauty,Vendor D,Carrier Y,3711,Yes
300,2023-10-27,Electronics,Vendor A,Carrier Z,1188,No
301,2023-10-28,Sports,Vendor B,Carrier X,4316,No
302,2023-10-29,Sports,Vendor D,Carrier X,4226,No
303,2023-10-30,Electronics,Vendor A,Carrier Z,4379,No
304,2023-10-31,Sports,Vendor B,Carrier X,1882,No
305,2023-11-01,Home,Vendor B,Carrier X,4865,No
306,2023-11-02,Beauty,Vendor C,Carrier Y,4163,No
307,2023-11-03,Electronics,Vendor A,Carrier Z,1133,Yes
308,2023-11-04,Beauty,Vendor A,Carrier Z,3798,No
309,2023-11-05,Sports,Vendor D,Carrier Z,3433,No
310,2023-11-06,Sports,Vendor C,Carrier Z,2180,No
311,2023-11-07,Electronics,Vendor C,Carrier Y,2055,No
312,2023-11-08,Home,Vendor C,Carrier Y,3256,No
313,2023-11-09,Clothing,Vendor C,Carrier X,992,No
314,2023-11-10,Electronics,Vendor A,Carrier X,991,Yes
315,2023-11-11,Clothing,Vendor A,Carrier X,2009,No
316,2023-11-12,Clothing,Vendor B,Carrier X,2455,No
317,2023-11-13,Home,Vendor B,Carrier Y,3810,Yes
318,2023-11-14,Clothing,Vendor C,Carrier Z,1807,Yes
319,2023-11-15,Clothing,Vendor C,Carrier Y,1184,No
320,2023-11-16,Home,Vendor C,Carrier X,3876,Yes
321,2023-11-17,Clothing,Vendor B,Carrier Y,3580,No
322,2023-11-18,Clothing,Vendor D,Carrier Z,719,No
323,2023-11-19,Clothing,Vendor D,Carrier Z,790,No
324,2023-11-20,Electronics,Vendor B,Carrier Y,1250,No
325,2023-11-21,Electronics,Vendor B,Carrier Y,3833,No
326,2023-11-22,Electronics,Vendor B,Carrier Y,4644,Yes
327,2023-11-23,Home,Vendor B,Carrier X,1159,Yes
328,2023-11-24,Sports,Vendor B,Carrier Y,892,No
329,2023-11-25,Clothing,Vendor B,Carrier Y,4099,No
330,2023-11-26,Clothing,Vendor C,Carrier Y,4673,No
331,2023-11-27,Home,Vendor C,Carrier Z,3146,No
332,2023-11-28,Clothing,Vendor C,Carrier Z,726,Yes
333,2023-11-29,Electronics,Vendor C,Carrier X,3424,Yes
334,2023-11-30,Sports,Vendor B,Carrier X,2453,No
335,2023-12-01,Beauty,Vendor D,Carrier Z,3544,No
336,2023-12-02,Clothing,Vendor A,Carrier Z,4165,No
337,2023-12-03,Electronics,Vendor B,Carrier Z,2075,No
338,2023-12-04,Beauty,Vendor A,Carrier Y,1963,No
339,2023-12-05,Sports,Vendor D,Carrier Y,720,Yes
340,2023-12-06,Beauty,Vendor C,Carrier Z,1216,Yes
341,2023-12-07,Electronics,Vendor D,Carrier Y,316,No
342,2023-12-08,Beauty,Vendor B,Carrier Y,2633,No
343,2023-12-09,Home,Vendor C,Carrier X,783,Yes
344,2023-12-10,Beauty,Vendor B,Carrier Z,594,No
345,2023-12-11,Clothing,Vendor C,Carrier Z,3988,No
346,2023-12-12,Clothing,Vendor A,Carrier Y,2968,No
347,2023-12-13,Home,Vendor A,Carrier Z,4367,Yes
348,2023-12-14,Electronics,Vendor A,Carrier X,4060,Yes
349,2023-12-15,Clothing,Vendor D,Carrier X,473,Yes
350,2023-12-16,Sports,Vendor B,Carrier X,2213,Yes
351,2023-12-17,Clothing,Vendor D,Carrier Z,4633,No
352,2023-12-18,Clothing,Vendor A,Carrier Z,1589,No
353,2023-12-19,Electronics,Vendor B,Carrier Z,3766,No
354,2023-12-20,Beauty,Vendor A,Carrier Z,4902,No
355,2023-12-21,Clothing,Vendor D,Carrier Z,365,No
356,2023-12-22,Home,Vendor D,Carrier X,1767,No
357,2023-12-23,Beauty,Vendor D,Carrier Y,928,No
358,2023-12-24,Sports,Vendor A,Carrier X,2243,No
359,2023-12-25,Electronics,Vendor B,Carrier Z,4397,No
360,2023-12-26,Sports,Vendor B,Carrier X,3696,Yes
361,2023-12-27,Beauty,Vendor A,Carrier Z,978,No
362,2023-12-28,Beauty,Vendor B,Carrier Z,413,No
363,2023-12-29,Beauty,Vendor A,Carrier X,3962,Yes
364,2023-12-30,Sports,Vendor B,Carrier Z,1776,Yes
365,2023-12-31,Beauty,Vendor C,Carrier Y,2648,No
366,2024-01-01,Sports,Vendor C,Carrier Z,3136,No
367,2024-01-02,Beauty,Vendor D,Carrier Y,3317,No
368,2024-01-03,Home,Vendor C,Carrier Y,791,No
369,2024-01-04,Beauty,Vendor C,Carrier Z,2920,Yes
370,2024-01-05,Sports,Vendor C,Carrier X,913,No
371,2024-01-06,Clothing,Vendor A,Carrier Y,1135,No
372,2024-01-07,Beauty,Vendor C,Carrier X,4537,No
373,2024-01-08,Clothing,Vendor C,Carrier Y,201,No
374,2024-01-09,Home,Vendor D,Carrier Z,3048,Yes
375,2024-01-10,Electronics,Vendor C,Carrier Z,4244,Yes
376,2024-01-11,Home,Vendor C,Carrier Y,2149,Yes
377,2024-01-12,Beauty,Vendor B,Carrier Z,1117,No
378,2024-01-13,Clothing,Vendor D,Carrier Y,3374,No
379,2024-01-14,Clothing,Vendor D,Carrier Z,2441,No
380,2024-01-15,Sports,Vendor D,Carrier X,289,No
381,2024-01-16,Clothing,Vendor D,Carrier Z,1909,No
382,2024-01-17,Sports,Vendor D,Carrier X,2369,Yes
383,2024-01-18,Electronics,Vendor D,Carrier Z,4438,Yes
384,2024-01-19,Beauty,Vendor A,Carrier X,3241,No
385,2024-01-20,Sports,Vendor C,Carrier Z,305,Yes
386,2024-01-21,Electronics,Vendor D,Carrier X,1086,No
387,2024-01-22,Clothing,Vendor C,Carrier Y,627,No
388,2024-01-23,Clothing,Vendor C,Carrier Y,2095,No
389,2024-01-24,Electronics,Vendor A,Carrier X,516,No
390,2024-01-25,Clothing,Vendor D,Carrier Z,834,No
391,2024-01-26,Electronics,Vendor B,Carrier X,2125,No
392,2024-01-27,Sports,Vendor A,Carrier Z,2256,Yes
393,2024-01-28,Sports,Vendor B,Carrier Y,3344,Yes
394,2024-01-29,Electronics,Vendor C,Carrier Z,2470,No
395,2024-01-30,Sports,Vendor C,Carrier Y,1639,No
396,2024-01-31,Sports,Vendor A,Carrier Z,752,No
397,2024-02-01,Sports,Vendor A,Carrier Z,915,Yes
398,2024-02-02,Home,Vendor B,Carrier Z,4111,No
399,2024-02-03,Beauty,Vendor D,Carrier X,1913,No
400,2024-02-04,Clothing,Vendor B,Carrier X,3589,No
401,2024-02-05,Home,Vendor A,Carrier Y,1307,No
402,2024-02-06,Sports,Vendor B,Carrier Y,4406,No
403,2024-02-07,Electronics,Vendor A,Carrier X,450,No
404,2024-02-08,Sports,Vendor B,Carrier Y,2630,No
405,2024-02-09,Beauty,Vendor A,Carrier X,2254,No
406,2024-02-10,Sports,Vendor A,Carrier Z,658,Yes
407,2024-02-11,Electronics,Vendor A,Carrier Y,407,No
408,2024-02-12,Beauty,Vendor D,Carrier Y,1099,No
409,2024-02-13,Sports,Vendor B,Carrier X,3661,No
410,2024-02-14,Beauty,Vendor B,Carrier Y,3585,Yes
411,2024-02-15,Clothing,Vendor B,Carrier Y,221,No
412,2024-02-16,Clothing,Vendor A,Carrier Z,609,No
413,2024-02-17,Sports,Vendor B,Carrier Y,1094,Yes
414,2024-02-18,Beauty,Vendor B,Carrier Z,714,Yes
415,2024-02-19,Electronics,Vendor A,Carrier X,4309,No
416,2024-02-20,Sports,Vendor C,Carrier Y,2334,No
417,2024-02-21,Clothing,Vendor A,Carrier Z,3795,No
418,2024-02-22,Clothing,Vendor B,Carrier X,3156,Yes
419,2024-02-23,Sports,Vendor A,Carrier Y,1760,Yes
420,2024-02-24,Beauty,Vendor C,Carrier X,1466,No
421,2024-02-25,Clothing,Vendor A,Carrier Y,2369,No
422,2024-02-26,Beauty,Vendor B,Carrier X,3838,No
423,2024-02-27,Clothing,Vendor C,Carrier X,949,No
424,2024-02-28,Clothing,Vendor D,Carrier Z,3627,No
425,2024-02-29,Home,Vendor B,Carrier X,4980,No
426,2024-03-01,Clothing,Vendor C,Carrier Y,2127,No
427,2024-03-02,Electronics,Vendor C,Carrier Y,4004,No
428,2024-03-03,Sports,Vendor D,Carrier Z,3902,No
429,2024-03-04,Sports,Vendor A,Carrier Y,2556,No
430,2024-03-05,Beauty,Vendor A,Carrier Y,4990,No
431,2024-03-06,Clothing,Vendor B,Carrier Y,2535,Yes
432,2024-03-07,Electronics,Vendor D,Carrier X,506,No
433,2024-03-08,Beauty,Vendor A,Carrier X,3865,Yes
434,2024-03-09,Home,Vendor D,Carrier Y,2189,No
435,2024-03-10,Beauty,Vendor A,Carrier Z,861,No
436,2024-03-11,Beauty,Vendor C,Carrier X,4844,No
437,2024-03-12,Clothing,Vendor A,Carrier Z,511,Yes
438,2024-03-13,Home,Vendor D,Carrier Y,3120,No
439,2024-03-14,Beauty,Vendor C,Carrier Y,1282,No
440,2024-03-15,Electronics,Vendor C,Carrier X,3171,Yes
441,2024-03-16,Electronics,Vendor C,Carrier Y,954,No
442,2024-03-17,Sports,Vendor D,Carrier X,4330,No
